key,nPCA,nn,resolution,silhouetteScore,varianceRatioCriterion,DaviesBouldin
ND,48,12,1.0,0.39083344,1062.8688432348622,0.742915373529979
ND,56,12,0.1,0.26441956,621.5967773062941,0.6839208830044585
ND,56,12,0.2,0.35854414,655.538857749957,0.9290627578345633
ND,56,12,0.30000000000000004,0.36183655,626.6417761060322,1.7138729497238838
ND,56,12,0.4,0.3609156,617.5910870410083,1.4584949178954798
ND,56,12,0.5,0.34550282,552.6224696232559,1.597320844801643
ND,56,12,0.6,0.32675883,507.76931912756623,1.934430695959961
ND,56,12,0.7000000000000001,0.37517467,940.6249748435946,0.7083709871325006
ND,56,12,0.8,0.3755625,940.5932326336443,0.7088316729234783
ND,56,12,0.9,0.37786657,975.5436626007361,0.705448566067512
ND,56,12,1.0,0.35022524,929.8757919055636,0.7358503016562402
ND,64,12,0.1,0.28376696,707.3116970416322,0.7731978113767947
ND,64,12,0.2,0.33637628,588.6469845117031,0.9113553862911563
ND,64,12,0.30000000000000004,0.36869827,662.4103471004286,1.872309063995233
ND,64,12,0.4,0.34865388,548.7514029720274,1.675599173873027
ND,64,12,0.5,0.36530617,604.6405773702393,1.6428534097390712
ND,64,12,0.6,0.34598026,554.2503939092496,1.6167348087243811
ND,64,12,0.7000000000000001,0.37542048,879.05301818005,0.7310640885788744
ND,64,12,0.8,0.3693781,901.6150749890908,0.6958208002915613
ND,64,12,0.9,0.34636232,838.4642049762349,0.7989975727052459
ND,64,12,1.0,0.37624103,868.405588260096,0.7454042406845879
ND,72,12,0.1,0.23658538,610.6844382265442,0.7783194330890897
ND,72,12,0.2,0.34509313,610.8429870161639,0.9268353595206209
ND,72,12,0.30000000000000004,0.3113817,578.7919500043652,1.397266593957932
ND,72,12,0.4,0.34477893,541.3958630100528,1.3085186598854979
ND,72,12,0.5,0.3526542,541.582019405087,1.0612341527888136
ND,72,12,0.6,0.35591033,560.7742066975263,1.4331167391642365
ND,72,12,0.7000000000000001,0.33246,501.69142263748193,2.6780513881149153
ND,72,12,0.8,0.3781037,926.0072288082495,0.7346553005887774
ND,72,12,0.9,0.37801275,893.6137965107312,0.7552443844808964
ND,72,12,1.0,0.38094467,915.0748829507845,0.7543295861987783
ND,80,12,0.1,0.19837543,469.3785304894054,0.7237098919195498
ND,80,12,0.2,0.3065018,753.6594730127575,0.8788691339683562
ND,80,12,0.30000000000000004,0.34684706,577.1785726573148,1.5509521333685705
ND,80,12,0.4,0.3374716,515.7533442849485,1.5080656844815672
ND,80,12,0.5,0.34268028,503.16652966152066,1.1372720431174042
ND,80,12,0.6,0.33768487,511.1750655678916,1.5442662519535704
ND,80,12,0.7000000000000001,0.34238398,493.1000211139142,2.511477591292816
ND,80,12,0.8,0.32580084,468.0144691062638,2.489220171481275
ND,80,12,0.9,0.3250799,470.3035584229387,2.3762560466307385
ND,80,12,1.0,0.36681613,752.5942712526336,0.7691803907230139
ND,10,19,0.1,0.2709784,472.80067462290395,4.245933120681667
ND,10,19,0.2,0.357342,859.0695134894861,2.9966228232264043
ND,10,19,0.30000000000000004,0.3422531,815.3572318638479,1.8034908847814066
ND,10,19,0.4,0.36516613,652.7603804444024,2.1004639401931153
ND,10,19,0.5,0.30359626,702.0930848892201,2.151436185945696
ND,10,19,0.6,0.30763966,695.8237914488642,2.163357181424333
ND,10,19,0.7000000000000001,0.2996472,718.629271902561,2.585738913939344
ND,10,19,0.8,0.3027999,683.7012364132157,2.803225312242617
ND,10,19,0.9,0.2917335,634.6776528973483,2.777159334259769
ND,10,19,1.0,0.2917335,634.6776528973483,2.777159334259769
ND,17,19,0.1,0.37910143,948.876505507428,0.8157780798561716
ND,17,19,0.2,0.35006642,948.8866938649237,0.8554406004808814
ND,17,19,0.30000000000000004,0.33713278,653.0908060766981,1.707956291391912
