gene,cellType,score,pval,log2foldchange,sig
CPEB1,Mac1,-1.12500868722799,0.2605853530501512,-1.0149551325317518,False
CPEB2,Mac1,-0.638208580935675,0.5233379121292243,0.37628649388691837,False
CPEB3,Mac1,0.28216692743208904,0.7778155164422452,0.765275749759541,False
CPEB4,Mac1,-4.347265868467182,1.3784508993073015e-05,-0.08796651366307273,True
CPNE1,Mac1,-0.05399403715284032,0.9569399149760531,0.471439018342263,False
CPSF1,Mac1,-1.0257459742693364,0.30501133769195343,0.33513026712304317,False
CPSF2,Mac1,-2.6318598276416356,0.008491889057226986,0.1856427819572204,False
CPSF3,Mac1,-4.266044951068026,1.989687081690518e-05,-0.04598742694737279,True
CPSF4,Mac1,-1.201407200613842,0.2295932843282239,0.3103419229497675,False
CPSF4L,Mac1,-0.009044353052187327,0.9927837487192901,-0.13909069771002458,False
CPSF7,Mac1,0.5023931714092603,0.6153909814951083,0.4860141703867926,False
CRNKL1,Mac1,-2.093852170562144,0.036273151080828944,0.04087511258858356,False
CSDC2,Mac1,-0.020837664034136984,0.9833751527002916,0.22446764986495596,False
CSDE1,Mac1,-1.678984693783439,0.09315502685053621,0.10805099304169463,False
CSTF1,Mac1,-2.7715594302838236,0.005578848737969287,-0.1390519637030594,False
CSTF2,Mac1,-3.2366305721893482,0.0012094987914883664,-0.5591551411778655,False
CSTF2T,Mac1,-0.6921087969987624,0.4888690076102524,0.4012651690938527,False
CSTF3,Mac1,-2.9755640078427046,0.0029245031267091134,-0.7546628265397399,False
CTNNBL1,Mac1,-5.054536153570026,4.3143802899917536e-07,-0.45828291399833354,True
CWC15,Mac1,-7.106872491916476,1.1870200346906474e-12,-0.29644793922177204,True
CWC22,Mac1,-2.063613633334758,0.039054363925177776,-0.17778338248696546,False
CWC25,Mac1,-1.016035491479903,0.3096124858452597,0.3715159589934869,False
D1PAS1,Mac1,0.0,1.0,0.0,False
DAZAP1,Mac1,-7.307236811192941,2.7269173270203566e-13,-0.3421874525186972,True
DAZL,Mac1,-0.07235482441749862,0.9423195354092192,-0.1991847619053799,False
DDX1,Mac1,-4.85383407837045,1.2109706674912399e-06,-0.10495648605615493,True
DDX17,Mac1,1.5088589117343594,0.1313348419207993,0.4027050207854135,False
DDX19A,Mac1,-2.949050167878512,0.0031875222839261837,-0.11559188222994976,False
DDX20,Mac1,-0.42709236477351814,0.6693120539451956,0.37860686577231295,False
DDX39,Mac1,-9.101424421084065,8.91547562460758e-20,-0.7131114909523157,True
DDX39B,Mac1,-6.86745983508482,6.535514457508911e-12,-0.34101299043289046,True
DDX3X,Mac1,7.224711780646219,5.021657208254935e-13,0.6293910679946082,True
DDX41,Mac1,-4.188595641476941,2.8068601481286005e-05,0.06268012879382567,True
DDX46,Mac1,-3.5420276014442753,0.00039706392405260393,0.06003022942145719,False
DDX5,Mac1,3.556091382798247,0.0003764131946160351,0.10142609266988423,False
DDX50,Mac1,-2.971295148258944,0.002965466358040727,0.16026404279431183,False
DGCR14,Mac1,-2.2741481587404464,0.022957079978226522,0.16909284641189082,False
DGCR8,Mac1,-1.814462347386743,0.06960657452054834,-0.03666337801330899,False
DGKQ,Mac1,-0.2099715988671705,0.8336898397240171,0.5137227025679403,False
DHX15,Mac1,-4.5867629642796155,4.5017129017872465e-06,-0.17792902332555816,True
DHX16,Mac1,-3.115657659061855,0.001835352083910596,-0.19667987904105733,False
DHX30,Mac1,-2.2903979714856626,0.021998257021883655,0.0927974183808784,False
DHX35,Mac1,-0.549378773157553,0.5827455382063681,0.189501969321908,False
DHX38,Mac1,-3.266953548397512,0.0010871151640085269,0.10372681446650667,False
DHX57,Mac1,-0.3060819232101238,0.7595422710328781,0.4144088398343593,False
DHX8,Mac1,-2.8019856096907154,0.005078913906874297,-0.1379149972801761,False
DHX9,Mac1,-1.8084296513156264,0.0705396565358349,0.1840804569513219,False
DICER1,Mac1,-0.31095123776830347,0.755837691771469,0.5857968671124478,False
DNAJC17,Mac1,-1.5495397362512517,0.12125202700037767,0.035250796424616926,False
