cellType,TF,nTargets,sigTargets,percSig,nUp,nDown,meanLFC_up,meanLFC_down
Mac1,IRF4,10125,2441,0.24108641975308642,5228,4641,0.45577879820857964,-0.43334263383672716
Mac1,IRF5,3995,1157,0.2896120150187735,2117,1827,0.4430158050301574,-0.4384525858805395
Mac1,IRF7,1027,308,0.29990262901655307,557,463,0.33882623029232206,-0.3307653310501048
Mac1,IRF8,8047,2249,0.27948303715670436,4272,3653,0.45017083237703054,-0.43389709486423794
Mac1,IRF9,2651,873,0.3293096944549227,1454,1169,0.45055991330313744,-0.42620251422546274
Mac1,ISL1,3651,800,0.21911804984935634,1848,1589,0.46687504582540784,-0.3948153138824643
Mac1,ISX,10875,2572,0.2365057471264368,5458,4957,0.4559916909273945,-0.42047969976449834
Mac1,JPH2,82,20,0.24390243902439024,50,32,0.4756513416700615,-0.3524955422594733
Mac1,JUN,11056,2546,0.2302821997105644,5424,4992,0.478888616565246,-0.4336129173916179
Mac1,JUNB,6119,1764,0.2882823990848178,3139,2836,0.4690467890693092,-0.4500484893967647
Mac1,JUND,7530,2094,0.27808764940239045,3948,3473,0.4572960281539464,-0.4429890508280214
Mac1,KAT2A,211,84,0.3981042654028436,102,109,0.3923008752863369,-0.33396301574617077
Mac1,KAT5,857,281,0.3278879813302217,403,448,0.3276339111031963,-0.3806737747187699
Mac1,KAT8,721,211,0.2926490984743412,349,357,0.39819089171740585,-0.37460440496199165
Mac1,KDM1A,11362,2574,0.22654462242562928,5639,5140,0.4729519491276751,-0.41637343145075595
Mac1,KDM2A,1051,211,0.20076117982873454,555,445,0.4379477050001067,-0.37516032819962725
Mac1,KDM2B,7646,1635,0.21383730054930683,3714,3373,0.46075512061115115,-0.4075584269554437
Mac1,KDM3A,893,267,0.2989921612541993,478,407,0.3783973425459599,-0.375285243912119
Mac1,KDM4A,1630,305,0.18711656441717792,842,717,0.4554328923102998,-0.38745392990435046
Mac1,KDM4B,33,9,0.2727272727272727,24,9,0.5394303101507945,-0.1859260906474161
Mac1,KDM4C,7865,1822,0.23165924984106803,3960,3544,0.4439584780668458,-0.399129932959478
Mac1,KDM5A,3439,907,0.26373945914510033,1839,1561,0.3765227086779674,-0.3557516165597474
Mac1,KDM5B,279,55,0.1971326164874552,140,119,0.4706720586862691,-0.36889132230375915
Mac1,KDM5C,626,143,0.22843450479233227,333,264,0.4543795726068624,-0.38785673746432087
Mac1,KDM6A,8248,2027,0.24575654704170707,4220,3680,0.443417310599518,-0.4058660635337093
Mac1,KDM6B,260,82,0.3153846153846154,136,120,0.47384744560511355,-0.39733889243611337
Mac1,KLF1,1562,473,0.3028169014084507,823,714,0.4128075218611776,-0.4066298493129937
Mac1,KLF15,2,1,0.5,0,1,,-0.09976957206511194
Mac1,KLF3,1103,304,0.2756119673617407,543,537,0.4568350013398164,-0.4458380601558078
Mac1,KLF4,12192,2577,0.21136811023622049,5789,5429,0.47795484941582544,-0.410330164786314
Mac1,KLF5,2310,649,0.28095238095238095,1190,1050,0.4667082974177829,-0.42317819500125714
Mac1,KMT2A,7304,1973,0.2701259583789704,3915,3322,0.4252067789116808,-0.4083543535543657
Mac1,KMT2B,11906,2455,0.20619855535024356,5660,5264,0.4719993716799829,-0.4074682915167576
Mac1,KMT2C,6001,1634,0.27228795200799866,3161,2739,0.4317289979566617,-0.40235604203822434
Mac1,KMT2D,9726,2169,0.2230104873534855,4799,4368,0.46622259237008606,-0.4063306454507115
Mac1,LDB1,1924,494,0.25675675675675674,996,862,0.4545817617336008,-0.40353321729316
Mac1,LEF1,50,16,0.32,25,25,0.3367370056661481,-0.34097384896612826
Mac1,LEO1,588,190,0.3231292517006803,289,283,0.3849495420176717,-0.4311431608902536
Mac1,LHX1,4,1,0.25,1,3,0.1056414906816423,-0.3003588031529853
Mac1,LHX2,2594,680,0.26214340786430224,1335,1173,0.4221767197031174,-0.3659145908920103
Mac1,LHX3,228,51,0.2236842105263158,104,91,0.5924313196103038,-0.4665848174935906
Mac1,LHX6,32,7,0.21875,24,8,0.48591044799274447,-0.640612128456317
Mac1,LIN9,148,45,0.30405405405405406,63,82,0.28659389469697966,-0.5219564935119363
Mac1,LMNB1,2374,526,0.22156697556866048,1233,1030,0.4509154808746083,-0.401529353293186
Mac1,LYL1,49,14,0.2857142857142857,22,25,0.907226054743708,-0.5203775738253549
Mac1,MAF,485,148,0.30515463917525776,277,205,0.5007532477125841,-0.5027124805520989
Mac1,MAFA,16,7,0.4375,12,4,0.7629305099937032,-0.3650437903155366
Mac1,MAFB,350,127,0.3628571428571429,206,140,0.6976495872061578,-0.49980015970930347
Mac1,MAFF,1268,349,0.2752365930599369,698,540,0.46706681613577183,-0.43127999366332304
Mac1,MAFG,83,19,0.2289156626506024,46,31,0.6712227340120264,-0.5651295053222176
Mac1,MAFK,1931,495,0.2563438632832729,1056,829,0.438441936410293,-0.4029421796518281
Mac1,MAGI1,3019,826,0.2736005299768135,1617,1343,0.40456422110136664,-0.379969873435751
Mac1,MAX,2488,715,0.28737942122186494,1242,1207,0.4116609148768299,-0.4169735923122583
Mac1,MAZ,657,187,0.2846270928462709,373,274,0.4547634423125124,-0.3981414037480385
Mac1,MBD1,1,1,1.0,1,0,0.7495950994242859,
Mac1,MCRS1,217,58,0.2672811059907834,119,92,0.4311367250184152,-0.35868352018227945
Mac1,MECP2,1913,231,0.1207527443805541,789,741,0.5309640424379369,-0.42482514665598853
Mac1,MED1,12371,2648,0.21404898553067658,5974,5453,0.4772386837520427,-0.41989950298346607
Mac1,MED12,10511,2328,0.22148225668347446,5165,4728,0.46227799216481386,-0.4124702586776269
Mac1,MED23,761,176,0.23127463863337713,393,329,0.44270589254744597,-0.35978433048623665
Mac1,MED24,3547,904,0.2548632647307584,1793,1622,0.44090863855973134,-0.4037766388561281
Mac1,MED26,2806,877,0.3125445473984319,1429,1359,0.3749305447423163,-0.37252285860248274
Mac1,MEF2A,974,249,0.25564681724845995,515,410,0.4662580274621469,-0.4130757274909789
Mac1,MEF2C,9738,2236,0.22961593756418155,4927,4334,0.46812854920579006,-0.41153997102667794
